SrcDatabase-来源库,Title-题名,Author-作者,Organ-单位,Source-文献来源,Keyword-关键词,Summary-摘要,PubTime-发表时间,Year-年
CJFD2008,数据挖掘中聚类算法的新发展,李明华;刘全;刘忠;郗连霞;,苏州大学计算机科学与技术学院;苏州大学计算机科学与技术学院;苏州大学计算机科学与技术学院;苏州大学计算机科学与技术学院 江苏苏州215006;江苏苏州215006;南京大学软件新技术国家重点实验室;南京210093;江苏苏州215006;江苏苏州215006,计算机应用研究,数据挖掘;;聚类分析;;聚类方法,"在对传统聚类方法进行简要介绍的基础上,对聚类的新发展进行了较详细的归纳,总结了聚类分类方法发展的趋势。",2008/1/15,2008
CJFD2008,WEKA数据挖掘平台及其二次开发,陈慧萍;林莉莉;王建东;苗新蕊;,河海大学计算机信息工程学院;河海大学计算机信息工程学院;南京航空航天大学信息学院;河海大学计算机信息工程学院 江苏常州213022;江苏常州213022;南京210016;江苏常州213022,计算机工程与应用,数据挖掘;;WEKA平台;;聚类;;k-中心点轮换算法,"在开源数据挖掘平台WEKA上进行了挖掘测试和分析,并分析了其存在的主要问题。为了克服WEKA系统在聚类方面的薄弱性,在WEKA的开源环境下进行二次开发,扩充了聚类算法。介绍了将k-中心点轮换算法嵌入到WEKA平台的过程,充分利用了开源WEKA中的类和可视化功能,并对嵌入的算法和原有聚类算法进行了对比分析。该算法改进了传统的k-中心点算法,避免陷入局部最优,而且它对初始点不太敏感,可以获取更好的聚类效果。",2008/7/1,2008
CJFD2015,论夜光遥感数据挖掘,李德仁;李熙;,武汉大学测绘遥感信息工程国家重点实验室;地球空间信息技术协同创新中心;,测绘学报,夜间灯光;;遥感;;数据挖掘,"如果从地球上空观测夜间的地球,可以发现人类聚居区和经济带发出夺目的光芒。当夜间的天空无云时,遥感卫星能够捕捉到城镇灯光、渔船灯光、火点等可见光辐射源,这些夜间无云条件下获取的地球可见光的影像即夜光遥感影像。与日间遥感不同,夜光遥感对于反映人类社会活动具有独特的能力,因此被广泛应用于社会经济领域的空间数据挖掘。本文首先介绍能够观测夜间灯光的卫星遥感观测平台和传感器,然后从社会经济参数估算、城市化监测与评估、重大事件评估、环境及健康效应研究、渔业信息提取、流行病研究、油气田监测等方面总结了夜光遥感数据挖掘的现状和特点。最后,文章从新型数据源、知识发现、地面观测和地理国情—世情监测4个方面提出了夜光...",2015/6/26 11:16,2015
CJFD2013,药对研究(Ⅱ)——药对的数据挖掘,尚尔鑫;李文林;叶亮;周卫;唐于平;范欣生;,南京中医药大学江苏省方剂高技术研究重点实验室;江苏省中药资源产业化过程协同创新中心;,中国中药杂志,数据挖据;;药对;;配伍规律;;量效关系,"数据挖掘技术已经成为中医方药研究不可或缺的一种强有力工具。该文基于数据挖据的原理与基本要求,介绍了数据挖掘技术的主要方法和研究流程,从基于病证的药对配伍特点、当代名医处方中的药对应用、药对量效关系与属性关系等方面总结了近年来数据挖掘技术在药对研究中的应用情况,为药对的现代科学研究提供了指引和可靠的数据基础。",2013/12/15,2013
CJFD2010,挖掘数据流界标窗口Top-K频繁项集,杨蓓;黄厚宽;,郑州大学信息工程学院;北京交通大学计算机与信息技术学院;,计算机研究与发展,数据挖掘;;数据流;;界标窗口;;频繁项集;;概要数据结构,"数据流频繁项集挖掘是目前数据挖掘与知识发现领域的热点研究课题,在许多领域有重要应用.然而支持度阈值的设定需要一定的领域知识,设置不当会给后续的分析处理带来很多困难和不必要的负担,因此挖掘数据流top-K频繁项集有重要意义.提出一个挖掘数据流界标窗口top-K频繁项集的动态增量近似算法TOPSIL-Miner,为此设计了存储流数据摘要信息的概要结构TOPSIL-Tree以及动态记录挖掘相关信息的树层最大支持度表MaxSL、项目序表OIL,TOPSET和最小支持度表MinSL等,并分析了与这些概要结构相关的挖掘特性.在此基础上研究算法的3种优化措施:1)剪枝当前数据流的平凡项集;2)挖掘过程中启发...",2010/3/15,2010
CJFD2010,气象数据挖掘研究,马廷淮;穆强;田伟;李德泉;,南京信息工程大学计算机与软件学院;国家气象信息中心;,武汉理工大学学报,数据挖掘;;气象数据;;气象应用,"分析了数据挖掘在气象业务中的必要性,总结了数据挖掘在气象预报、气候预测和气象灾害预报中的应用情况,阐述了数据挖掘可以在时空分析、关联分析、降维分析、分类预测4个方面在气象业务中应用,并结合气象应用提出了气象数据挖掘研究的重点。",2010/8/30,2010
CJFD2011,Moodle平台数据挖掘研究——以一门在线培训课程学习过程分析为例,魏顺平;,中央广播电视大学现代远程教育研究所;,中国远程教育,Moodle;;学习过程;;日志;;交互论坛;;数据挖掘,"Moodle开源教学平台已在我国教育领域得到了广泛应用,有许多围绕Moodle平台的应用研究。然而,Moodle平台强大的日志功能尚未引起关注,很少有人利用这些丰富的日志信息开展数据挖掘研究。为推动Moodle平台更深层次应用,本文借鉴国外相关成果开展Moodle平台数据挖掘研究,通过常规统计方法、可视化方法、聚类方法、社会网络分析等方法,对网络学习平台的日志和交互论坛数据进行数据挖掘,揭示出某一网络培训班在线学习过程中师生活动的总体情况,发现学生的模块访问偏好和学习时间偏好,分析得出师生交互网络的结构特点。这些挖掘结果可为评估网络培训开展情况、优化学习支持服务等提供参考。",2011/1/6,2011
CJFD2011,Web时空数据挖掘研究进展,孙嘉;裴韬;龚玺;周成虎;,中国科学院烟台海岸带研究所;中国科学院地理科学与资源研究所资源与环境信息系统国家重点实验室;中国科学院研究生院;,地球科学进展,Web时空数据挖掘;;空间数据挖掘;;时空信息;;地理信息提取,"随着互联网的迅速发展,Web已经渗透到人类社会的各个角落,其中蕴含着大量关系社会、经济和生活的信息。从中挖掘出刻画事件时空范围的时空信息,可以为探索社会、自然事件以及行为主体的时空运动规律和知识提供丰富的素材。系统综述了Web时空数据挖掘的理论、方法和应用,首先介绍了Web时空数据挖掘的概念及分类,详细阐述了Web时空信息的特点和提取方法,其次针对3类Web时空数据挖掘的内容、方法及应用进行了综述,最后探讨了Web时空数据挖掘面临的难题、研究热点和未来领域的发展方向。",2011/4/10,2011
CJFD2011,同态加密隐私保护数据挖掘方法综述,钱萍;吴蒙;,南京邮电大学计算机学院;江苏科技大学计算机科学与工程学院;南京邮电大学通信与信息工程学院;,计算机应用研究,隐私保护;;数据挖掘;;同态加密;;安全多方计算,"近年来国内外学者对隐私保护数据挖掘(privacy-preserving data mining,PPDM)进行了大量研究,适时地对研究成果进行总结,能够明确研究方向。从分类挖掘、关联规则挖掘、聚类挖掘和安全多方计算等几个方面,总结了现有的基于同态加密技术的算法,分析了其基本原理和特点,并在此基础上指出了PPDM技术今后发展的方向。",2011/5/15,2011
CDFD2005,面向商业智能的并行数据挖掘技术及应用研究,熊忠阳,,重庆大学,"商业智能,数据挖掘,并行体系结构,模式存储,并行算法,BP算法","随着企业信息化进程的不断推进, 很多企业已经积累了大量的业务数据,但这些业务数据的商业价值并没有得到充分的挖掘和利用。随着市场竞争的不断加剧, 企业需要商业智能指导业务行为并进行辅助决策, 以便在激烈的市场竞争中赢得主动和更多的商机。作为企业实现商业智能核心技术的数据挖掘技术虽然为企业实现商业智能提供了可能和技术保证,但是面对企业复杂的数据分析问题,现有数据挖掘技术显然不能很好适应并较好地解决所有这些问题。除了需要研究更好的数据挖掘技术和理论以外,如何提高数据挖掘的效率已经成为学术界研究的焦点。 本论文以商业智能应用为背景,以提高数据挖掘的效率作为研究目标,将并行处理技术与数...",2004/2/28,2004
CDFD2005,空间数据挖掘中聚类分析算法的研究,杨春成,,解放军信息工程大学,数据挖掘;聚类分析;聚类算法;面状地理实体;相似性;遗传算法;小波变换;空间数据;栅格数据,随着数据获取技术的发展以及数据获取手段的多样化，大量与空间位置相关的数据被收集，人们迫切需要强有力的数据分析工具来从这些数据中获取信息或知识，这一需求导致了空间数据挖掘这一全新研究领域的出现。 空间聚类分析既可以发现隐含在海量数据中的聚类规则，又可以与其它数据挖掘方法结合使用，发掘更深层次的知识，提高数据挖掘的效率和质量，是空间数据挖掘的重要研究方向之一。本文探讨了面状地理实体和栅格空间数据的聚类算法，主要研究工作如下： (1)系统归纳和总结了文献中发表的大量空间聚类算法，对各种算法的适用条件、性能、优缺点和计算复杂度进行了细致分析与比较。 ...,2004/10/1,2004
CDFD2005,基于数据挖掘的电力营销决策支持系统的结构原理及算法研究,陈刚,,重庆大学,神经网络;聚类分析;电力营销;决策支持系统;数据挖掘;数据仓库;联机分析,随着我国电力市场的逐步发展和完善，电力工业已经逐步从“卖方市场”转变为“买方市场”，这将给我国电力工业的发展带来重大的影响。作为独立市场主体的电力企业，其经营目标转变为关注企业效益的最大化，工作的重点逐渐从发输电方面转移到市场营销开拓以及电力需求侧的管理服务方面。 随着机制的转换，传统的面向基本业务的信息管理系统(如用电MIS等)已不能满足电力企业营销工作的需要，如何建立适应于我国电力营销需求的决策支持系统已成为当务之急。 数据挖掘技术是人工智能和数据库结合的产物，用于发现海量数据库中存在的潜在关系和规则，已经成为一种重要的智能决策方法以及决...,2004/9/20,2004
CDFD2005,基于数据挖掘的远程学习评价研究,刘革平,,西南师范大学,远程教育;学习评价;数据挖掘,"提高学习质量的途径之一是通过科学、有效的评价来发现问题,找出差距,及时改进。但是,在远程教育环境下,由于学生以分散学习和业余学习为主,导致学习过程难以监控、学习效果不便诊断,因此普遍存在远程学习质量评价困难的问题。国内对远程学习评价的研究极少,尚没有指导实践工作的可操作方案,无法应对快速发展的远程教育事业的迫切需要。 本论文构建了一个远程学习评价系统。论文从分析远程学习者的特征出发,创设了学习评价环境,研究了适合远程学习特点的评价量规,运用当代评价方法与数据挖掘技术相结合的评价手段,对远程学习过程进行评价,以期发现学生在远程学习过程中存在的问题,为其改进学习提供参考和...",2005/4/1,2005
CDFD2006,基于数据挖掘的银行客户分析管理关键技术研究,赵基,,浙江大学,客户关系管理;数据挖掘;数据仓库;聚类;粗糙集;决策树;时序数据;字符串;Seed;MAS;协商,"如何将数据仓库及数据挖掘的相关技术应用于金融业客户关系管理,是目前金融行业迫切需要研究的领域。该领域包括对于数据仓库和数据挖掘技术的研究,CRM系统的构建,以及更加有效挖掘算法的设计等方面。本文具体探讨了金融行业的客户关系管理系统在实施过程的若干关键技术,同时对基于数据挖掘的银行客户关系管理技术进行了研究。 传统的数据挖掘方法在金融行业的应用包括银行客户划分、银行客户流失预警、金融欺诈分析以及基于数据挖掘的银行信用卡分析等方面,本文对于这些传统的方法进行了总结和分析,并且结合具体案例进行了说明,给出了自己的结论。 在第三章中,对于银行的客...",2005/5/1,2005
CDFD2007,中医方剂数据挖掘模式和算法研究,周忠眉,,浙江大学,中医方剂;数据挖掘;相关自信度;模式;规则,中医药学是中华民族五千年优秀文化的瑰宝和科学发展的结晶，为人民的健康和生存质量的提高作出了极大贡献。方剂学在中医药学中占有重要位置，方剂是中医药学理、法、方、药的一个重要组成部分，其配伍规律有着深刻的科学内涵。 几千年来，中医药领域的无数临床实践与理论研究积累了海量的中医方剂，这些中医方剂包含在中医药古籍、文献以及当前的临床研究文献中。近年来，浙江大学计算机学院CCNT实验室和中国中医研究院合作共建了大量方剂数据库，如何有效的利用这些宝贵的数据库资源就成了发展中医药必须面对的一个问题。而数据挖掘所擅长的正是从海量的数据中发现有意义的模式、知识，这是分析中医药海量中...,2006/12/1,2006
CDFD2007,基于区间数的不确定性数据挖掘及其应用研究,任世锦,,浙江大学,区间数;回归;分类;SVM;核方法;多尺度学习;遗传算法;模糊聚类算法;数据挖掘,尽管数据挖掘技术已经成功应用到很多领域，但是由于测量手段的局限性以及客观对象本身不确定性等原因，在自然和社会科学领域中存在大量待挖掘的数据是不准确、不确定的。如果不充分考虑这些数据的不确定性，不采用合适的数据挖掘方法，那么必然会导致挖掘模型性能下降，甚至是不可接受的。如何从大量不确定性数据中找出隐藏的知识，仍然是人们研究的主要课题。根据待挖掘数据所依据的不确定理论，不确定性数据挖掘方法可分为4种类型：随机数据挖掘、灰色数据挖掘、模糊数据挖掘和区间数数据挖掘方法。 本文以国家863项目钢铁生产过程的质量控制为研究背景，为解决生产过程数据不完整、不确定...,2006/7/1,2006
CDFD2007,基于数据耕种与数据挖掘的系统效能评估方法研究,鞠儒生,,国防科学技术大学,数据耕种;数据挖掘;高层体系结构;效能评估;神经网络;支持向量机,"作战系统效能评估一直是军事运筹分析的热点与难点问题之一。在众多的评估方法中,仿真技术一直扮演着重要的角色。随着人类战争形态从机械化向信息化转变,传统的效能评估方法正面临着许多挑战,例如信息化战争中的“维数灾”、“复杂性灾”以及非线性特征的处理等。针对上述问题,本文以作战仿真技术为基础,提出了基于数据耕种与数据挖掘的系统效能评估方法,主要内容概括如下: 1.研究了基于HLA的数据耕种系统框架,设计了数据种植、数据生长平台、数据采集、结果数据库以及结果分析等HLA数据耕种分系统。其中重点探讨了一种直接式HLA数据采集的原理,与DMSO数据采集方式相比,具有一定的优...",2006/10/1,2006
