SrcDatabase-来源库,Title-题名,Author-作者,Organ-单位,Source-文献来源,Keyword-关键词,Summary-摘要,PubTime-发表时间,Year-年
CJFD2013,基于专利引证网络的技术进化路线分析——以数据挖掘领域为例,许琦;顾新建;陈芨熙;,浙江大学现代制造工程研究所;台州职业技术学院机电一体化技术实验室;,科研管理,技术进化路线;;专利引证网络;;连接度分析;;数据挖掘,"应用搜索路径连接统计法和搜索路径节点对统计法计算引证路径的连接度,提出了一种基于专利引证网络的技术进化路线提取算法。从美国专利数据库中采集了5073项1975年至1999年授权的数据挖掘领域的相关专利,分析了专利的地区分布情况和年度分布情况。从专利数据集NBER中查询得到专利引证关系,利用网络分析软件Pajek构建专利引证网络,提取了数据挖掘领域的技术进化路线。由实验结果可知,技术进化路线包含创新、扩散和突破,是一个渐进式创新和根本性突破相结合的过程。根据专利内容将主要进化轨迹分为三段,从继承性和延续性的角度分析了各阶段技术的发展情况。最后对下一步的研究工作进行了展望。",2013/2/20,2013
CJFD2013,大数据时代城市时空间行为研究方法,秦萧;甄峰;熊丽芳;朱寿佳;,南京大学地理与海洋科学学院;南京大学建筑与城市规划学院;,地理科学进展,大数据时代;;网络数据;;移动信息设备数据;;城市时空间行为研究方法;;变革,"信息技术的快速发展带来了""大数据""时代的到来,改变了城市的空间组织和居民行为,并使得城市时空间行为研究方法面临变革。本文在总结传统城市时空间行为研究方法存在问题的基础上,对影响其变革的数据获取与处理技术进行梳理,重点从居民时空行为、城市空间及城市等级体系3个方面综述了国内外应用大数据进行城市时空间行为研究的最新进展,构建了基于大数据应用的城市时空间行为研究方法框架。本文认为,大数据时代城市时空间行为研究方法的变革主要取决于对反映居民时空行为的网络或移动信息设备数据的挖掘、处理及应用,但是还需要进一步推动相关学科间的交叉与融合,加强社交网站等网络数据在居民时空行为和城市空间研究中的应用,并指导城...",2013/9/15,2013
CDFD2004,基于粗糙集的数据挖掘与决策支持方法研究,苏健,,浙江大学,粗糙集理论;数据挖掘;决策支持;属性约简;规则获取,为有效处理大量数据并获取有意义的知识，数据挖掘已经成为一个研究热点。数据挖掘所得到的知识能够为决策支持提供依据。粗糙集理论作为处理含糊性和不确定性的一种数学工具，已经成为数据挖掘领域的重要方法。 本论文主要针对现存粗糙集方法缺乏对分布式存储数据的代价较小的有效处理机制以及在规则约简过程中决策表决策支持能力的损失等问题进行了研究工作，提出了解决方法。 论文针对现存粗糙集方法缺乏对分布式存储数据的代价较小的处理机制问题，提出了元信息方法。元信息方法将传统的信息系统概念推广为分布式信息系统，以便于分布式数据环境的数据描述，...,2002/12/1,2002
CDFD2004,时间序列数据挖掘研究与应用,王达,,浙江大学,数据挖掘;时间序列;子序列;数据变换;数据预处理;算法收敛;数据库管理;时间性能;多尺度分析;误匹配;,随着信息技术的飞速发展，数据挖掘受到越来越多的关注。本文在综述国内外数据挖掘研究发展概况后，对时间序列的表达、搜索等几个问题进行研究分析，提出一些算法和解决方案，取得一定成果，主要包括以下内容： 1)提出时间序列的趋势表示模型，可以有效刻画时间序列的动态变化趋势。通过趋势投影，实现时间序列趋势距离的快速计算。序列趋势距离方法克服以点距离为基础的时间序列误匹配以及物理概念不明确等缺陷。对应时间序列线性分段数目的不同，序列趋势距离具有基于时间的多尺度分析特性，可以有效反应不同分析频率下时间序列的相似程度； 2)采用相对点...,2004/2/1,2004
CDFD2004,粗糙集理论在数据挖掘领域中的应用,马昕,,浙江大学,数据挖掘;Rough分析;规则归纳;关联规则;分类;数据预处理,本论文的研究内容集中在Rough集理论以及Rough分析在数据挖掘领域中的若干应用。Rough集理论是一种新型的处理不确定性知识的数学工具，围绕着数据挖掘领域存在的问题，本文利用Rough集理论与Rough分析工具，提出若干解决方案，同时在具体处理问题过程中引入了信息理论、因子分析等方法，与Rough分析结合使用，讨论了Rough集技术在知识发现、关联规则挖掘、模式分类以及数据清洗等问题中的应用。论文对数据挖掘以及Rough集理论进行了基本概述，完成的主要工作包括： 1．针对海量数据处理起来极为耗时，现有算法拓展性较差的问题，基于Rough集理...,2003/9/1,2003
CDFD2005,时序数据挖掘技术及其在水质预测中的应用研究,王勇,,广东工业大学,数据挖掘;时间序列;时序趋势结构序列;水质预测;粗糙集;人工神经网络;AR模型,"时间序列数据挖掘是从大量的时间序列数据集中提取潜在的、有用的知识,据此预测时间序列的未来。本文结合导师“区域水环境监控及决策支持系统开发(广东省科技攻关项目)”和“流域水污染时滞大系统的建模与控制(国家自然科学基金项目)”的研究课题,进行了时序数据挖掘技术及其在水质预测中的应用研究。其主要内容包括:进行基于时序模式和规则的趋势预测方法研究、进行基于时序趋势结构序列的时序数据挖掘方法研究、进行基于粗糙集和趋势结构序列的时序挖掘方法研究、以及进行时序挖掘方法应用于水质预测上的研究。本文的主要工作、成果及核心部分归纳如下: (1)第一章概述时序数据挖掘的产生背景和研究现状,...",2005/4/1,2005
CDFD2005,关联规则挖掘方法的研究及应用,刘亚波,,吉林大学,数据挖掘;关联规则;关联规则挖掘;支持度;可信度;最小支持度;最小可信度;频繁项目集;最大频繁项目集;序列模式;有序序列;有序模式;数据清洗;推荐系统;评价表;基于内容过滤的推荐;基于CF 的推荐;基于规则的推荐;用户关联;项目关联;概念格;数据表;标准;优先数据表;支配关系;被支配关系;三值数据表;支配项目集;支配关联规则,"本文在数据挖掘研究和关联规则挖掘研究背景下,展开了对关联规则挖掘方法的研究及应用工作,重点研究了关联规则最大频繁项目集、有序模式、用户关联和支配关联规则的挖掘方法及应用等问题,具体包括:(1)对数据挖掘技术,特别是关联规则挖掘技术研究进行了全面综述;(2)关联规则最大频繁项目集发现的问题的研究,提出了采用改进集合枚举树描述项目集、结合双向搜索策略、利用非频繁项目集对候选最大频繁项目集进行剪枝的快速发现最大频繁项目集的算法。(3)挖掘和应用有序模式问题的研究,将关联规则频繁模式的概念扩展到有序模式问题,给出了有序模式的挖掘方法,进而提出并实现了应用有序模式进行数据清洗的方法;(4)推荐系统中挖掘...",2005/4/1,2005
CDFD2007,生物信息数据挖掘若干关键问题研究与应用,李荣,,复旦大学,数据挖掘;生物信息学;基因芯片;基因表达;分析模型;路径分析,数据挖掘研究经过十余年的发展，涌现了众多的挖掘算法。这些算法各具特色，涉及了统计、人工智能、机器学习、数字信号处理等研究领域。近几年数据挖掘以其强大的分析能力向各行业渗透，研究方向也逐步转向应用。数据挖掘结合应用领域的特色而得到发展。 生命科学近年来获得突破性进展，随着信息技术在生物学研究中得到广泛应用，现代生物学的研究方法也而发生了深刻的变化，强有力的数据分析技术与工具成为现代生物学研究发展的关键。数据挖掘技术因其在大规模数据处理方面的卓越能力而在其中占据越来越重要的地位。但是生物信息学中的数据挖掘研究仍然处于起步阶段，有很多问题需要解决。 ...,2004/11/10,2004
CDFD2007,数据挖掘技术及其在证券领域的应用,王中,,天津大学,客户聚类;关联规则和序列模式;客户行为模型;客户流失模型;决策树;股票时间序列,"本论文从四个方面探讨了数据挖掘理论与技术及其在证券领域的应用。 第一,研究用于客户分析的聚类方法。通过挖掘客户的历史交易数据,基于客户关系管理理论提出并实现了证券行业的客户划分模型:客户自动聚类机制、同类别内客户分组机制以及模型动态更新机制。在客户自动聚类机制的实现方面,建立了资金规模、手续费收入、息差收入、操作频率等四项指标体系,通过对数据的统计相关性分析定义了加权聚类相似度公式,并通过对聚类结果的分析建立了证券行业的客户聚类效果评价指标;在同类别内客户分组机制的实现方面,提出并实现了根据客户的操作风格使用动态贝叶斯模型进行客户分组的方法。最后,...",2005/11/1,2005
CDFD2007,基于数据挖掘的网络故障告警相关性研究,徐前方,,北京邮电大学,告警相关性;序列模式挖掘;数据挖掘;增量式挖掘;统计相关;谱图理论;多维尺度分析,现代电信网络管理的主要任务是对网络进行实时监控，确保电信网络高效、可靠、经济和安全的运行。随着现代电信网络的规模越来越大，结构日益复杂，对电信网络的告警数据进行相关性分析尤其重要，因为从告警数据分析出的相关性知识，可以帮助网络管理人员及时定位故障，保证电信网络的正常运行。传统的相关性分析方法由于过多地依赖专家知识而难以适应网络复杂、多变的情况，采用数据挖掘的方法则可以弥补这方面的不足。随着网络规模的增大，告警数量的增加，如何从海量告警数据中发现电信网络中的告警相关性知识，帮助网络管理人员处理网络故障，是当前网络故障管理所面临的主要问题。 本文将数据挖掘技术应用...,2007/5/10,2007
