SrcDatabase-来源库,Title-题名,Author-作者,Organ-单位,Source-文献来源,Keyword-关键词,Summary-摘要,PubTime-发表时间,Year-年
CJFD2014,基于GIS的气象时空数据挖掘和融合技术,王卫民;叶秋菊;贺文丽;李婧;,陕西省气象局防雷减灾与行政执法办公室;西安电子科技大学计算机学院;,电子科技,地理信息系统;;时空数据挖掘;;数据融合;;气象服务,"论述了地理信息系统、数据挖掘、时空数据挖掘的概念和技术方法。在此基础上,针对气象数据具有来源复杂、种类繁多、格式多样、表现形式各异、数据量大和增长速度快等特点,提出了基于地理信息系统进行时空数据挖掘和数据融合的设想,并根据各自优势将三者进行集成并设计了其在气象服务方面的应用框架,提高了气象数据的使用率和气象服务的准确率。",2014/2/15,2014
CJFD2014,一类基于安全多方计算的数据挖掘隐私保护模型的可行性分析,景征骏;蒋国平;古春生;,南京邮电大学计算机学院;江苏理工学院计算机工程学院;,计算机应用研究,隐私保护;;数据挖掘;;同态加密;;安全多方计算;;可行性分析,"阐述安全多方计算(SMC)密码原语在分布式数据挖掘隐私保护中的相关应用后,对方炜炜等人提出的基于SMC的隐私保护数据挖掘模型进行分析,论证该类模型所基于的离散对数公钥加密协议不具有全同态的特性,并用简单实例验证。从而得出该类数据挖掘隐私保护模型是不可行的。",2013/9/10 17:10,2014
CJFD2014,大数据与广义GIS,陆锋;张恒才;,中国科学院地理科学与资源研究所资源与环境信息系统国家重点实验室;,武汉大学学报(信息科学版),广义地理信息系统;;互联网文本搜索;;移动对象数据库;;轨迹数据挖掘;;复杂网络,"普适计算基础设施和数据处理技术的发展催生了大数据概念,而大数据时空粒度的不断细化加速了地理空间信息的泛化过程。阐述了大数据时代地理空间信息泛化的显著特征,进而提出GIS概念广义化的迫切需求,从数据采集与整理、数据管理与集成、数据分析与计算三个方面分析了广义GIS所面临的技术挑战,重点探讨了互联网蕴含地理空间数据采集、移动对象数据库和异构动态数据管理、移动对象轨迹数据挖掘、复杂网络分析等方面的研究进展与存在的问题,并展望了广义GIS时代地理计算与城市计算、社会计算的融合趋势。",2014/6/9 10:06,2014
CDFD2004,KDD中的几个关键问题研究,陈莉,,西安电子科技大学,KDD;数据挖掘 ;自适应聚类 ;免疫遗传算法; 数据预处理;关联规则; 泛化关联规则; 文档分类 petri 网; 主分量分析;可视化 ;虚拟数据库 ;多层数据库; 西安电子科技大学博士学位论文,I 摘 要 数据库中的知识发现（Knowledge Discovery in Database，KDD）是在应用需 求的背景下产生并迅速发展起来的、开发信息资源的一套科学方法、算法及软件 工具和环境，是集统计学、人工智能、模式识别、并行计算、机器学习、数据库 等技术的一个交叉性的研究领域。KDD 是识别有效的、新颖的、具有潜在用处 的可理解的数据模式的过程。一般地，KDD 由数据清理、数据集成、数据选择、 数据变换、数据挖掘...,2003/10/1,2003
CDFD2007,时间序列挖掘相关算法研究及应用,杜奕,,中国科学技术大学,时间序列;线性拟合;关键点;在线划分;划分特征链表;相似性查询;时态频繁模式,随着计算机与信息技术的普及和大容量存储技术的发展，人们在日常事务处理和科学研究中逐渐积累了大量的宝贵数据。这些数据背后蕴藏着对决策有重要参考价值的信息。如何充分有效地利用这些历史数据，从中提取出用户需要的信息正成为当今数据挖掘领域广泛关注的热点问题。 时间序列数据反映了属性值在时间或空间顺序上的特征。利用时间序列数据挖掘(Time Series Data Mining，简称TSDM)，可以获得数据中蕴含的与时间相关的有用信息，实现知识的提取。由于时间序列的数据类型复杂且具有高维性、噪声干扰及波动性等特点，因此时间序列挖掘是数据挖掘中的一个重要研究方...,2007/5/1,2007
CDFD2009,空间离群点挖掘技术的研究,薛安荣,,江苏大学,属性划分;;局部离群系数;;空间离群点;;集成学习;;空间索引;;剪枝策略;;隐私保护;;数据挖掘,"空间离群点是与其空间邻域中其它空间对象的非空间属性值存在明显差异的空间对象。空间离群点挖掘是空间数据挖掘的一个重要分支,在交通控制、遥感图像分析、气象预报和人口统计数据分析等应用中可揭示重要现象。 随着传感器设备技术的发展,数据采集设备的数量越来越多,精度越来越高,采集的项目也越来越多,因此数据量越来越大,维数越来越高。然而现有的空间离群点挖掘算法主要是针对单维或中低维的中小规模数据量的挖掘,难以适应高维大数据量的挖掘,并且现有算法没有充分考虑空间数据的特点,挖掘的不是真正意义上的空间离群点,而是全局离群点。算法存在用户依赖性大,检测精度低,挖掘效率低等局限。此外,随着网...",2008/11/1,2008
CJFD2004,数据挖掘中决策树的探讨,马秀红;宋建社;董晟飞,西安高技术研究所;西安高技术研究所;西安高技术研究所 西安710025 ;西安710025 ;西安710025,计算机工程与应用,决策树;;熵;;数据挖掘;;知识发现,"决策树方法是数据挖掘中的一个重要内容。该文叙述了决策树的构建过程,并指出了其技术难点及构建算法,最后,通过一个实例给出了该算法选取决策属性的详细过程。",2004/1/1,2004
CMFD2014,数据挖掘中的离群点检测算法研究,胡婷婷,,厦门大学,离群点检测;;平均距离;;频率,"离群点检测是数据挖掘中的一个分支,它的任务是识别其特征显著不同于其他数据的观测值。在我们平常的社会生活和自然界中,大部分的事件和对象,都是很寻常或者是平凡的。但是我们也不能因此忽视,在其中也有很多不寻常或者不平凡的对象存在的可能性。这些对象的事件背后可能蕴含着更大的研究价值,有着广阔的应用前景。因此,离群点检测是一个非常有意义的研究方向。 目前,研究者们已经提出了很多离群点检测方法,包括基于统计的离群点检测方法、基于频率的离群点检测方法、基于深度的离群点检测方法、基于距离的离群点检测方法和基于密度的离群点检测方法等。本文分析了离群点检测的研究背景、意义和国内外研究现状,研究基于距离的离群...",2014/4/1,2014
CMFD2013,基于云计算的BI处理技术研究,陶礼亮,,吉林大学,云计算;;Hadoop;;BI;;负载均衡;;数据挖掘,商业智能（BI）是多种技术相结合形成的解决方案，对于商业信息化起到了重要的作用。但是使用也起来有着它的局限性，包括：使用成本过高、硬件资源有限、安全保障性过低、使用风险过高等缺点，而且处理性能不能满足功能需求的不断扩展。因此，只有突破局限性才能更好的发展商业智能技术。 本文通过分析云计算的特点，将云计算技术与BI处理技术相结合，尝试为解决局限性问题寻找一个突破口，构造出一个新的解决方案。 首先选择Hadoop作为系统实现和实验的云计算平台，同时将传统的云计算架构进行改进，使得云计算框架完全面向服务于BI结合进行改进，称作BIHadoop。与传统云计算两层结构相比，BIHadoop集...,2013/4/1,2013
CMFD2006,时态数据周期挖掘理论与算法的研究,程昱,,湘潭大学,数据挖掘;时态数据;多粒度时间;部分周期;异步周期,"周期模式主要是研究时序数据库中的循环特性,是时态数据挖掘的一个重要的研究方向。周期模式的挖掘具有广泛的应用前景,如:气候、每天的交通模式、股票交易的波动、网站的访问量。 本文第一章阐述了时态数据挖掘的研究背景以及有关的技术,分析了其研究现状,探讨了在周期挖掘的研究内容和方法,总结了该领域已取得的成果,重点研究了周期挖掘的方法,由此引出本文所要研究的内容 第二章扩展了基本的时间概念及性质,进一步提出来多粒度时间格式等的数学定义,并研究它们的相关性质。以此为基础引出了一个多粒度时间部分周期模型,对模型的性质进行了详细讨论。为下一步的挖掘算法提供了理论基础。 ...",2005/5/1,2005
CMFD2006,数据挖掘技术在电力同业对标中的应用,刘路登,,华北电力大学（北京）,数据挖掘;电力同业对标;聚类分析;K-means算法;层次方法,"随着数据挖掘技术的迅速发展,数据挖掘已经在众多领域得到广泛应用,并逐步应用到电力行业中。本文研究的主要内容是数据挖掘技术在电力同业对标管理方面的应用。 首先,对同业对标管理进行了简要地介绍,主要包括同业对标管理在国内外的应用,特别是在电力行业的应用。然后,重点研究在电力同业对标中采用聚类分析技术――K-means算法和层次方法进行企业归类和确立标杆的方法。通过综合性指标的算例验证了该方法的可行性和有效性。",2006/6/30,2006
CMFD2006,数据挖掘中约简技术与属性选择算法的研究,刘辉,,吉林大学,数据挖掘;约简;素数;属性选择;卡方,"约简以及属性选择都是数据挖掘中的重要技术,人们一直致力于寻求快速的约简算法,以及如何删除无关属性与冗余属性。本文就这两方面问题进行了研究与讨论。在对数据挖掘进行概述之后,提出了基于素数性质的布尔函数约简算法,然后综述前人在属性选择领域所作的工作,最后提出了两个属性选择算法。 在第二章提出了基于素数性质的布尔函数约简算法,主要思想是用素数表示布尔变量,以算术运算代替逻辑运算。本文重新定义了布尔系统,并且用新系统中的公理与规则描述了原有布尔系统的定律,因此,基于素数性质的布尔系统具有完备性。该算法运用于粗糙集属性约简中,可以减少空间消耗,同时提高时间效率。 第三...",2006/4/28,2006
CMFD2006,基于多策略的学生成绩挖掘与分析系统的研究与实现,王兵,,苏州大学,多策略;数据挖掘;决策树;统计分析;分类,"随着高校招生规模的扩大,在校学生人数急剧增加,这使得原有教务管理系统中存在的问题日益突出。尤其是其中的学生成绩分析模块,往往只有简单的一些功能,而隐藏在海量数据中的大量有用信息不能得到有效地利用。如何将这些数据信息转化为知识表示,为学校决策者提供决策依据,科学指导教学,提高教学管理水平,是目前高校中值得研究的问题。 数据挖掘技术在分析大量数据中具有明显优势,并已成功地应用到了多个研究领域,但它在教育领域中应用还不够深入。本文通过对数据挖掘技术的相关分析与比较,提出了多策略的设计思路,将数据挖掘技术与统计分析相结合,从海量成绩数据中提取出隐藏于其中的...",2006/4/1,2006
cjfd2002,基于数据挖掘的客户关系分析评价系统,王扶东;朱云龙;薛劲松;李兵,中国科学院沈阳自动化研究所;中国科学院沈阳自动化研究所;中国科学院沈阳自动化研究所;中国科学院沈阳自动化研究所 辽宁沈阳110015 ;辽宁沈阳110015 ;辽宁沈阳110015 ;辽宁沈阳110015,东南大学学报(哲学社会科学版),CRM;;数据挖掘;;决策支持,"分析功能的深化是客户关系管理(CRM)的一大发展趋势,应用数据挖掘技术建立的CRM分析评价系统,可以对客户的行为以及市场趋势进行有效的分析,为企业的各种决策提供定性和定量的依据。该系统主要模块包括:客户细分模块、客户行为分析模块和市场趋势分析模块。以上各个模块涉及了企业关心的各种客户行为及市场行为,通过各个模块的分析,企业可以辨认出高端客户,理解各种客户行为模式,并掌握市场发展趋势以保证企业在激烈的竞争中立于不败之地。",2002/12/30,2002
CMFD2013,基于数据挖掘的气象数据分析,姜文瑞,,西安建筑科技大学,数据挖掘;;决策树;;时间序列;;气温预测,随着我国气象信息化事业的不断发展，气象领域积累了大量的数据。激增的数据背后隐藏着许多重要的信息，如何充分利用这些数据并从中发现有用的，却常被人们忽视的重要信息，已成为科研人员的一项重要任务。气象数据的研究与分析对于生产实践与社会生活具有越来越重要的意义。本文利用决策树方法和时间序列方法对陕北某县气象站的气象数据进行分析与处理。 首先，采用决策树方法中的CART算法对气温数值进行评估，主要考虑月平均气压、月平均水汽压、月最小相对湿度、月蒸发量和降水量等因素对月平均气温的影响。建立了按月平均气温划分生成的决策树模型，同时还建立了分季节气温划分生成的决策树模型，并采用这两个模型对气温进行预测。...,2012/5/1,2012
