SrcDatabase-来源库,Title-题名,Author-作者,Organ-单位,Source-文献来源,Keyword-关键词,Summary-摘要,PubTime-发表时间,Year-年
CJFDTEMP,基于KL-散度的智能电网用户特征提取方法,赵文清;杨璐;李刚;,华北电力大学控制与计算机工程学院;,计算机测量与控制,智能电网;;特征提取;;数据挖掘;;K-means,"智能电网技术的发展,使得传统电力系统的规模及复杂度大大增加,同时产生了大量的用电数据,如何有效利用数据挖掘技术,从这些海量数据中挖掘出有潜在价值的信息,成为了当前电力系统分析中的一个挑战性问题;首先根据不同的时间段,将用户的用电数据进行划分,在分析每段时间内用户用电数据的基础上,采用KL-divergence(KL-散度)方法衡量用户差异,并结合基于密度改进的K-means算法,给出了一种新的用户特征提取算法,用以描述电网用户的特征差异,从而实现针对不同类别用户制定不同电力营销策略,这在一定程度上能够提高企业经济效益;最后,算例仿真结果表明,所给出的用户特征提取算法在计算的时间效率和准确性上,...",2016/8/25,2016
CJFDTEMP,第八届国际数据挖掘与应用统计研究会学术简述,李勇;张敏;朱建平;,重庆工商大学;云南财经大学;厦门大学;,统计与信息论坛,数据挖掘;应用统计;台北医学大学;数据研究;允升;入选论文;数据分析;数据共享;应用研究;企事业单位;,"第八届国际数据挖掘与应用统计研究会于2016年7月23-26日在大庆市隆重召开。本届会议由国际数据挖掘与应用统计研究会主办,东北石油大学、厦门大学数据挖掘研究中心、台北医学大学大数据研究中心和重庆允升科技大数据研究中心联合承办。会议主题为""卓越数据共享统计的理论及应用研究"",来自国内外近100所高校、政府和企事业单位200多位专家学者莅临参加。大会入选论文52篇,分为大数据分析",2016/10/10,2016
CJFDTEMP,第四届“泰迪杯”全国数据挖掘挑战赛成功举办,本刊通讯员;,,数学建模及其应用,数据挖掘;数学建模竞赛;智能科技;课外科技活动;数学科学学院;州泰;数据分析方法;华南师范大学;数学学会;创造精神;,"2016年3月底,第四届""泰迪杯""全国数据挖掘挑战赛开赛。本届挑战赛由全国大学生数学建模竞赛组委会主办,广州泰迪智能科技有限公司承办,广东省工业与应用数学学会和华南师范大学数学科学学院协办。竞赛是面向全国在校研究生和大学生的群众性科技活动,研究生、本科生、大专生都可以组队参赛,目的在于激励学生学习数据挖掘的积极性,提高学生利用数据分析方法解决实际问题的综合能力,鼓励广大学生踊跃参加课外科技活动,开拓知识面,培养创造精神及合作意识,推动数据挖掘技术在高校的",2016/9/15,2016
CJFDTEMP,高校教学评价系统的数据挖掘技术研究,薛茹;,西北大学现代学院;,电脑迷,教学评价系统;数据挖掘技术;教学管理部门;管理模块;学生评价;模块结构;教学质量;网络技术;数据预处理;信息技术;,"本论文针对高校开发了一个教学评价系统,该系统包括学生评价模块、成绩管理模块和学校监督模块。在高校教学评价系统中主要用到数据挖掘技术,通过对该系统的数据进行分析,挖掘出有一定价值的信息,为高校教学管理部门提供决策支持,有效提升教育教学质量,加快实现教育现代化。随着网络技术、信息技术的迅速发展及数据库的广泛应用,在各行各业产生大量的数据,数据挖掘技术通过寻找数据背后隐含的关系,能够对数据进行挖掘、分析,来帮助人们进行正确有",2016/4/15,2016
CJFDTEMP,数据挖掘技术在公共管理领域的应用,王博韬;,大连理工大学;,赤子(上中旬),数据挖掘技术;;公共管理;;应用,"数据挖掘技术是提高组织绩效和服务水平的重要工具,在公共管理中也具有良好的应用价值,能够最大程度上满足政府决策需求,并为信息共享提供可靠的技术支撑。尤其在信息时代,合理的数据挖掘技术,有助于推进政府的稳定持续发展。本文简要探讨数据挖掘技术在公共管理领域内的实际应用,仅供相关人员参考。",2016/8/15,2016
CJFDTEMP,基于南京地铁AFC系统的数据挖掘,李丽芬;,南京地铁运营有限责任公司;,电子技术与软件工程,AFC系统;;数据挖掘技术;;数据统计,"随着轨道交通的迅速发展,南京地铁网络化的运营,客流信息的日益增长,对票务系统的数据统计的信息化,自动化、智能化以及全面化的要求越来越迫切。为了提高南京地铁运营的管理水平和智能化程度,在大力建设智慧城市环境的影响下,城市轨道交通也开始将数据挖掘技术引入到我们的AFC系统中,大大提高我们运营管理人员的工作效率全面实现高效的信息化管理,为轨道交通带来巨大的信息价值和社会经济效益,为城市未来的轨道交通发展规划建设和运营提供有利的指导。",2016/9/23 13:38,2016
CJFDTEMP,大数据挖掘中的数据分类算法技术研究,郭龙;,公安部第一研究所安检技术部;,数字技术与应用,大数据挖掘;;数据分类算法;;技术研究,"近年来,随着我国经济的持续稳定增长以及国内国际环境的稳定,在为科学技术创造良好的发展空间的同时,也有效的推动了科学技术尤其是计算机技术的发展和创新。在这样的背景之下,如何利用数据的分类算法,对相关的电子数据进行处理,成为了有关部门以及人员亟待解决的问题。本文基于此,分析了几种处理数据分类算法,并讨论如何在大数挖掘的背景下,利用数据分类算法技术对有关的数据进行分类处理。",2016/9/15,2016
CJFDTEMP,利用云平台对海量海洋数据进行Apriori算法挖掘,刘宁;赵飞;,河北软件职业技术学院;,舰船科学技术,云平台;;Apriori算法挖掘;;海洋数据,"首先阐述基于矩阵的Apriori数据挖掘,指出此算法具有占用内存大的问题,并针对此问题进行改进。最后在仿真实验过程中,搭建Hadoop云平台,利用IBM实验室提供的数据集进行仿真。仿真结果表明,与传统的数据挖掘算法相比,此方法运行时间增长速度比较平缓,数据挖掘时间短。",2016/9/23,2016
CJFDTEMP,基于极大频繁关联模式挖掘的复制算法研究,刘瑞雪;秦丹阳;贾爽;杨松祥;,哈尔滨工业大学深圳研究生院;黑龙江大学电子工程学院;,黑龙江大学工程学报,数据挖掘;;关联模式;;数据复制;;分散群,"针对现有基于数据挖掘的文件关联性复制算法无法有效提取文件关联性的问题,提出了基于极大频繁关联模式挖掘的分散群复制算法(Decentralized Replication strategy based on Maximal Frequent Correlated Patterns,DRMFCP)。DRMFCP算法通过二进制历史文件转换、极大频繁关联模式挖掘和复制,以实现极大减少复制模式数量、消除冗余以及优化复制的目的。数据分析与仿真结果表明,在不同存取模式下相较于无复制、DR2、PRA和PDDRA算法,DRMFCP算法提取文件关联性的效率更高,并能同时降低作业执行平均时间,为降低网格数据传输延迟...",2016/7/19 11:32,2016
CJFDTEMP,两阶段高期望权重项集下闭合类Apriori挖掘算法,李海生;李春青;梁婷婷;王高才;,广西民族师范学院物理与电子工程系;广西民族师范学院数学与计算机科学系;广西大学计算机与电子信息学院;,计算机工程与设计,两阶段;;下闭合特性;;类Apriori算法;;高期望权重;;数据挖掘,"针对不确定数据集中,高期望权值容易产生较大计算冗余的问题,提出一种两阶段高期望权重项集下闭合类Apriori挖掘算法。针对传统层次挖掘算法只采用项集上界,对高期望权值进行处理效果并不理想的问题,设计补充层次挖掘算法的下闭合特性,给出证明过程,该特性在保证精度前提下可有效降低候选项集处理量;构建两阶段数据挖掘过程,第一阶段,基于分层搜索方法获得一组候选项集的高期望权重项集,第二阶段,再次扫描数据库获得项集高期望权值,完成数据挖掘过程。在标准数据集上的仿真对比结果表明,该算法在保证算法精度的前提下,能够大幅提高算法计算效率。",2016/10/16,2016
