SrcDatabase-来源库,Title-题名,Author-作者,Organ-单位,Source-文献来源,Keyword-关键词,Summary-摘要,PubTime-发表时间,Year-年
CJFDTEMP,大场景三维激光扫描仪在研究生实践教学培养中的应用,宋丽梅;邓耀辉;朱新军;王红一;,天津工业大学电工电能新技术天津市重点实验室;,科教导刊(上旬刊),机器视觉;;大场景三维激光扫描仪;;实践教学,"在当今社会对高素质、复合型人才的需求愈加强烈的同时,也对高层次人才的综合素质提出了更高的要求。组织开展课外实践教学既能培养究生解决实际问题的能力,又能将原本枯燥的理论知识与实践结合起来,不仅让学生学会用理论来指导实践,又能够让学生在实践中加深对理论的认识。本文以大场景三维扫描仪在机器视觉课外实践教学中的应用为例,让学生独立使用大场景仪器对上课所在实验室进行数据扫描采集并对原始数据进行处理重建。在使用仪器的过程中,加深学生对机器视觉理论的理解,并提升学生的工程实践能力、独立创新能力和今后解决综合性重大社会问题的能力。",2016/9/5,2016
CJFDTEMP,基于本体语义建模的航天工程风险管理知识库,麦强;王宁;安实;王钊;,哈尔滨工业大学管理学院;上海宇航系统工程研究所;,系统工程与电子技术,航天工程;;风险管理;;知识库;;本体语义建模,"工程风险分析方法已经提出了大量的风险事件、发生概率及风险管理措施,但是这些信息分布在不同的部门和项目中,没有形成统一的、可重复使用的风险管理知识,致使许多风险分析工作是重复劳动,效率低下。针对某航天工程,构建了一种基于本体语义建模的风险管理Ontology知识库。该Ontology知识库由4个主要的知识模型组成,分别是系统组成类模型、风险源类模型、风险分类模型和风险事件模型。通过形式验证和内容验证,证明了该Ontology知识库的完整性和一致性。最后,应用Protégé软件建立了该Ontology知识库原型,说明了该方法在风险管理中的有效性和适用性。",2016/6/19 11:34,2016
CJFDTEMP,基于OpenCV的变电站监控视频智能分析,王华键;王一智;董芸含;刘一寰;俞晓婷;顾玖;,南京工程学院电力工程学院;,新型工业化,计算机视觉;;OpenCV;;C++;;运动检测;;人脸识别,"随着计算机技术的飞速发展,机器能代替人类所做的事情越来越多,而正是软硬件技术的不断更新,机器计算能力的不断加强,才使快速处理视频帧,图像等这些庞大的数据量成为现实。OpenCV是一款十分强大的图像处理开源程序库,使用面对对象高级语言C++开发,由intel公司维护。基于OpenCV来开发计算机图像处理的程序能大大缩短开发周期,性能也有所保证。使用者不必深究其算法的实现原理,从而把精力集中在所需实现的功能上。本文重点研究的是人脸识别的生物认证技术,适用于变电站环境下的简单安防系统。",2016/8/20,2016
CJFDTEMP,基于多特征条件随机场的《金匮要略》症状药物信息抽取研究,叶辉;姬东鸿;,广州中医药大学;武汉大学;,中国中医药图书情报杂志,条件随机场;;《金匮要略》;;症状药物信息抽取;;中医古籍,"目的结合自然语言处理方法,研究可以有效抽取中医古籍中所含症状和药物文本实体信息的方法。方法以《金匮要略》为例,采用条件随机场(CRF)算法,先将文本进行分词处理,然后以词性、基于键值对的中医诊断标记集作为辅助特征,通过症状-药物BIO标签为训练特征来训练出模型,然后利用该模型对测试集文本进行自动标签标注。结果基于多特征CRF自动标注的结果准确率达到84.5%,召回率达到70.9%,F测度值达到77.1%。结论运用CRF方法加入词性、中医诊断标记集特征集进行训练得出的多特征模型,能有效提高CRF算法对中医古籍的实体抽取能力,生成的模型可用来自动化抽取中医古籍文本的症状药物实体信息。",2016/10/15,2016
CJFDTEMP,自然语言处理技术在美军地理空间情报中的应用,冯玲莉;康兴挡;,61175部队;,产业与科技论坛,地理空间情报;;大数据;;自然语言处理,"近年来,以美国为首的西方发达国家十分重视自然语言处理领域的研究,尤其在军事领域。相关技术已在指挥控制、通信、计算机和信息的访问、情报、训练、军事行动中的语言保障等方面得到成功应用,提高了军事行动的效率。",2016/10/30,2016
CJFDTEMP,一种基于Hadoop的海量图片检索策略,孙玉林;王晓卉;,山东商务职业学院;,电子技术与软件工程,分布式系统;;海量图片;;检索策略,"针对电商平台海量图片的检索出现的性能瓶颈问题,本文提出一种基于Hadoop的海量图片检索策略,通过Sequence实现对小图片合并,并在合并过程中设定单个Sequence File的偏移量,解析索引快速定位存储图片Block的DataNode和Fileld,解决海量图片数据扩容和快速检索的问题。",2016/9/23 13:38,2016
CJFDTEMP,物联网技术在物流运输领域的应用及对策分析,阙丽娟;,北京信息职业技术学院;,现代商业,物联网;;物流运输;;影响对策,"物流运输是较早应用物联网技术的领域之一,物联网技术将对物流运输管理产生很大的影响。简单介绍了物联网的概念,详细分析了物联网技术在物流运输领域的应用,阐明了物联网技术对物流运输管理的影响,提出了基于物联网的物流运输管理对策。",2016/9/18,2016
CJFDTEMP,校园门户的交互性信息设计研究,张进;王莎莎;王宇翔;,西北大学现代教育技术中心;,信息通信,校园门户;;交互性信息;;设计研究,"信息化发展到一定的阶段则会衍生出交互性信息,这既是信息化建设的基本途径也是推动信息化建设得以发展的关键要素。基于校园门户的交互性信息设计研究,旨在为当前传统的校园门户进行拓展与延伸,建立一个校园交互性信息门户,符合数字化校园的建设需求,为校园门户的交互性信息提出一套切实可行的解决方案。",2016/9/15,2016
CJFDTEMP,试析关系数据库中关键词查询结果动态优化,孙伟;,南京农副产品物流配送中心有限公司;,数字技术与应用,关系数据库;;关键词查询结果;;动态优化,"关键词查询有利于用户从数据库中更加便捷的查询到所感兴趣的内容,用户不用具备专业的数据库结构化查询语言就能够获取到自身所刚兴趣的内容,这在很大程度上使其门槛得到了有效降低。本文就关系数据库中关键词查询结果动态优化进行简要分析,深入探讨了蚁群优化算法求解关键词查询问题和基于概念漂移的查询结果动态优化。",2016/9/15,2016
CJFDTEMP,浅析公安边防院校数字化校园建设设计,邓宗强;,公安边防部队高等专科学校基础部计算机教研室;,数字技术与应用,边防部队;;数字化校园建设;;公共服务平台;;信息化,"数字化校园建设已在高校中广泛应用,并已积累一些建设经验,本文首先简要探讨了数字化校园建设的概述以及数字化校园在公安边防院校建设的意义,结合公安边防院校信息化建设的实际,提出了公安边防院校数字化建设设计、公共服务平台架构以及建设的内容。为军队院校数字化建设提供可供参考的依据和可供操作的步骤。",2016/9/15,2016
