SrcDatabase-来源库,Title-题名,Author-作者,Organ-单位,Source-文献来源,Keyword-关键词,Summary-摘要,PubTime-发表时间,Year-年
CJFDTEMP,基于CubieBoard的大数据实验平台设计,韦尧;陈子阳;程静文;高聪硕;张正艳;吕震宇;,华北理工大学管理学院;,华北理工大学学报(自然科学版),实验平台;;大数据;;Hadoop,"针对传统大数据实验平台部署成本高、网络环境配置复杂等问题,将CubieBoard引入大数据实验平台架构,搭建了五节点的大数据实验环境,完成了Hadoop集群部署、MapReduce应用开发部署和Mahout大数据分析挖掘实验。该平台搭建成本低,部署容易,非常适合高校本科生和研究生作为大数据学习的入门实验平台。",2016/7/25,2016
CJFDTEMP,一种电力设备状态监测大数据的分布式联机分析处理方法,王德文;周青;,华北电力大学控制与计算机工程学院;,中国电机工程学报,状态监测;;大数据;;关系型联机分析;;数据模型;;层次编码,"电力设备状态监测大数据分析是一个热点研究课题,对保障电力设备的安全稳定运行具有重要意义。联机分析处理(on-line analytical processing,OLAP)可以多角度、快速存取与分析数据,是实现电力设备状态监测大数据分析的一种重要技术手段。通过分析大数据环境下的OLAP技术,设计一种电力设备状态监测大数据分析平台,给出3种分布式数据分析方案,包括基于Hive的关系型联机分析、基于Impala的关系型联机分析和基于HBase的多维联机分析。分布式关系型联机分析虽然在一定程度上满足电力企业的需求,但其数据模型中表之间频繁的连接操作,导致其出现性能瓶颈。针对分布式关系型联机分析数据模...",2016/6/23 15:09,2016
CJFDTEMP,对ERP软件系统中的智能信息分析技术的几点探讨,李明辉;,哈尔滨东安发动机(集团)有限公司;,电脑迷,智能信息;ERP软件;先进管理思想;智能分析;信息管理系统;企业决策;企业综合实力;企业运营;数据挖掘;数据仓库;,"企业资源计划系统(Enterprise Resource Planning,ERP)是利用现代信息技术,并以先进管理思想为指导,为企业决策提供有效的管理平台,其是新一代信息管理系统,其核心内容为优化企业管理,为企业运营提供科学决策,能够反映市场对企业资源优化的调整,该系统在促进企业结构转变和升级、提升企业综合实力方面具有重要意义。1 ERP软件系统中的智能信息分析设计系统在进行智能分析时需要有大量正确的数据作为基础,并",2016/4/15,2016
CJFDTEMP,基于DAMA体系运营商数据资产管理体系构建研究,刘南海;,中国移动通信集团广西有限公司信息系统部;,电信网技术,大数据;;数据资产管理;;DAMA,"""大数据""时代,数据已成为实现企业目标的关键资产。基于DAMA体系,结合省级运营商实际,分析数据生命周期,构建数据资产架构,在组织、流程、IT方面做出相应调整,给出省级运营商数据资产管理体系构建的实施思路。",2016/9/15,2016
CJFDTEMP,基于C4.5决策树算法的棉花病害诊断方法,王兴国;李梦雪;,华北水利水电大学;,信息通信,决策树;;C4.5;;棉花病害;;诊断方法,"C4.5算法作为决策树算法家族中的重要成员,是对ID3算法的继承与拓展。C4.5算法不仅能处理名词属性而且能处理连续属性,极大提高类C4.5算法的学习能力。文章将C4.5算法应用到棉花诊断中,通过对棉花病害数据学习成树,得到可理解的诊断规则。",2016/9/15,2016
CJFDTEMP,基于朴素贝叶斯点击预测的查询推荐方法,石雁;李朝锋;,江南大学物联网工程学院;,计算机应用与软件,查询推荐;;用户日志;;点击预测;;朴素贝叶斯;;二分图;;Jaccard相似度,"查询推荐作为一种改善用户查询体验和效率的重要方式,可以帮助用户筛选并提供更加准确的查询描述。目前很多查询推荐方法主要集中在热门推荐或是基于相似度匹配的推荐上,忽略了用户的查询意图,无法有效提供个性化推荐。为此,基于对用户查询点击日志进行分析与挖掘,训练出一个朴素贝叶斯模型,针对用户输入的查询,根据历史数据预测其与URL的点击率,再利用二分图将URL的预测点击值平均分配给相对应的每个查询项,最后结合Jaccard相似度和时间相关因子综合分析用户当前输入的查询与历史中查询的相关度,并给出推荐。实验证明了该方法的可行性并取得了较好的推荐效果。",2016/10/15,2016
CJFDTEMP,基于爬虫技术的网络负面情绪挖掘系统设计与实现,彭纪奔;吴林;陈贤;黄雷君;,温州大学物理与电子信息工程学院;温州大学教师教育学院;温州大学机电工程学院;浙江农林大学信息工程学院;,计算机应用与软件,网络爬虫;;情绪挖掘;;负面情绪;;正则表达式,"社交网络的兴起为人们提供了一个新的情感空间,但是在网络中出现心理健康问题的人们通常得不到应有的关注和帮助,甚至受到其他网民的恶意攻击。为便于在网络空间向需要的人群提供及时有效的心理辅导和救助,提出一个基于爬虫技术的网络负面情绪挖掘系统CyberCare。在Scrapy爬虫框架下,对目标网络进行周期性的自动抓取,对网页内容的负面情绪进行度量,并为心理工作者的及时介入提供接口。针对国内数个知名网站的实验结果显示,CyberCare能够将心理工作者的关注范围缩小到网站新帖的千分之一左右,显著提高了工作效率。对于情感类特定版块,实验结果的精度和召回率分别达到60%和80%,显示了该系统的有效性。",2016/10/15,2016
CJFDTEMP,融合用户可信度的改进奇异值分解推荐算法,潘骏驰;张兴明;汪欣;,国家数字交换系统工程技术研究中心;珠海高凌信息科技有限公司;,小型微型计算机系统,推荐算法;;协同过滤;;用户可信度;;奇异值分解,"基于信任的协同过滤推荐算法在缓解数据稀疏性、提高推荐准确度上具有明显优势.在协同过滤推荐算法中引入信任关系需要解决两个问题:一是信任数据的获取与信任的度量问题,二是信任度与具体算法的结合问题.传统算法在解决这两个问题时,仍存在信任信息挖掘不足、利用率不高的现象,导致推荐准确率难以进一步提升.为此,引入用户可信度的概念,提出一种改进的奇异值分解算法,算法同时考虑了用户的信任信息、被信任信息以及各自的隐性反馈.在真实数据集上的实验结果表明:与传统算法和其他主流信任算法相比,本文算法能有效提高推荐准确度.",2016/10/15,2016
CJFDTEMP,互联网公开数据在省域空间规划中的应用初探——以海南省总体规划为例,李晓晖;,中国城市规划设计研究院;,建设科技,大数据;;互联网公开数据;;省域空间规划;;多规合一;;海南省,"随着社会信息化程度的提高,大数据研究逐渐兴起,当前城市规划的大数据研究尚处于起步阶段,编制实践尚未展开。本研究通过辨析省域数据不同来源渠道的特征,建立以互联网公开数据为主体的省域空间大数据分析架构,并以全国首个省域""多规合一""改革试点——海南省总体规划为例,应用""双向搭接、比较研究、多元互证、强化积累""四个数据运用方法,对全省旅游业的特色产业认知和省域空间结构的特色空间识别两个方面进行探讨,并形成可视化信息,为海南省总体规划的战略部分提供辅助决策。城市规划大数据的实践应以数据为基础、以空间为本源,发挥宏观空间研究的应用优势,以新的思维方法服务于传统的城市规划实践。",2016/9/25,2016
CJFDTEMP,应用型智能科学与技术专业大数据课程群建设研究,曹耀钦;李发陵;周龙福;,重庆工程学院软件学院;,计算机教育,智能科学与技术;;大数据;;人才培养;;课程群,"指出当前应用型智能科学与技术专业大数据人才培养中存在的问题,然后分析大数据应用开发人才的岗位需求及知识结构,提出基于岗位目标的大数据课程群的概念,最后阐述大数据课程群建设对大数据人才培养的意义。",2016/10/10,2016
