SrcDatabase-来源库,Title-题名,Author-作者,Organ-单位,Source-文献来源,Keyword-关键词,Summary-摘要,PubTime-发表时间,Year-年
CJFDTEMP,基于Android的电话销售软交换客户端设计,朱政;罗浩燊;狄国强;,江西财经大学信息管理学院;,科技广场,Android;;电话销售;;软交换;;客户服务,"在Android智能手机操作系统已经普及的背景下,针对电话销售系统的不便利性,本文利用已经成熟的软交换技术,把PJSIP协议栈移植到Android平台上,设计并开发了Android手机电话软交换客户端,使之能够通过SIP服务器进行语音通话,加入电话销售功能,为客户提供购买、咨询、业绩统计和考核等功能。系统在经过测试后,通话质量良好,数据记录正常,达到预期设计目标。",2016/8/30,2016
CJFDTEMP,基于森林病虫害领域本体的概念相似度算法改进,陈志飞;岳琪;陈广胜;,东北林业大学;,东北林业大学学报,语义相似度;;本体;;森林病虫害,"传统的基于本体概念的相似度算法过于依赖层次结构,且忽略了许多影响概念间语义相似度的因素。针对这一问题,通过引入边权重关系、语义相关度影响因素,提出1种新的基于森林病虫害本体的语义相似度的计算方法。结果表明:改进后的相似度算法比传统算法更接近林业相关领域的专家经验值,证明了该方法的准确性及有效性,体现了林业领域本体概念间的复杂关系。",2016/7/26 9:13,2016
CJFDTEMP,我国ERP在电子商务环境中的应用,王军玲;张寅;姜钰国;,沈阳理工大学;,产业与科技论坛,ERP;;电子商务;;关联性,"信息化时代信息技术的发展带动了许多周边行业的发展,例如电子商务业。在当下,几乎所有企业中电子商务扮演的角色也越来越重要,不管是在企业的经营中还是管理上。那么作为一种进行物质资源、资金资源和信息资源集成一体化管理的企业信息管理系统,ERP在电子商务环境下的应用就显得格外重要了。基于此,本文就ERP系统在电子商务环境下的应用展开分析和讨论。",2016/11/15,2016
CJFDTEMP,消费者视角下的推荐系统研究,杨一翁;王毅;孙国辉;,北方工业大学经济管理学院;中央财经大学商学院市场营销系;中央财经大学商学院;新疆财经大学;,企业经济,网络购物;;推荐系统;;消费者视角;;营销效果,"在网络购物环境下,推荐系统能帮助消费者更高效地找到合意商品,并促进网商提高销量,因此,它得到了广泛应用。现有研究主要关注推荐系统的算法优化,而较少探索推荐系统对消费者的营销效果。基于此,本文使用文献资料法,构建了一个概念模型,提出购物网站、推荐系统和推荐信息的特性影响推荐系统对消费者的营销效果。这些营销效果可综合长尾理论、基于信任的技术接受模型、更新的信息系统成功模型,以及信息系统持续使用模型来对其进行探索。产品特征、消费者心理特征和消费者对推荐系统的熟悉度,是推荐系统对消费者营销效果的调节变量。未来的研究可基于上述概念框架开展实证研究。",2016/9/25,2016
CJFDTEMP,煤矿安全监管信息管理系统的现状与发展,刘文杰;,瓦斯灾害监控与应急技术国家重点实验室;中煤科工集团重庆研究院有限公司;,电子技术与软件工程,煤矿安全监管;;物联网;;信息管理系统,"主要阐述煤矿安全监管信息管理研究与现状,探讨了煤矿安全监管信息管理在现阶段存在的一些问题,基于煤矿安全监管领域中物联网的应用展开分析,提出以物联网为基础构建覆盖各层级的安全监管信息管理系统,并就该系统的信息标准、安全因素分级、安监体系以及信息采集内容做出论述。",2016/9/23 13:38,2016
CJFDTEMP,PKS-NRPS数据库介绍,陈苏;陈姜;吴祺豪;王鸿;,浙江工业大学药学院;,中国药学杂志,聚酮合成酶;;非核糖体多肽合成酶;;数据库;;序列分析;;结构预测,"聚酮类化合物(polyketide,PK)和非核糖多肽(nonribosonmal peptide,NRP)是两大类重要的微生物次级代谢产物,其生物合成需要聚酮合成酶(polyketide synthases,PKSs)和非核糖体多肽合成酶(non-ribosomal peptide synthetases,NRPSs)。随着测序技术和生物信息分析手段的快速发展,PKS/NRPS基因簇及其合成产物的信息飞速增长。整合资源,创建PKS/NRPS数据库,以方便科学家进行序列分析,产物结构预测,以及实现分子改造合成新型化合物等的研究。笔者主要介绍近5年开发的与PKS/NRPS相关的重要的数据库,包括...",2016/8/8,2016
CJFDTEMP,分块NMF及其在图像压缩中的应用,陈剑军;,广东科技学院;,科教导刊(下旬),矩阵分块;;矩阵Hadamard乘积;;NMF;;图像压缩,"基于矩阵乃""局部构成整体""的思想和并行计算的模式,将矩阵分块进行非负矩阵分解,并将其用于图像压缩。实验表明:该方法可减少存储量、计算量,计算量的减少较为显著。",2016/9/25,2016
CJFDTEMP,EXCEL在投资管理决策中的应用,夏利华;,泰州学院;,商业经济,EXCEL;;投资管理;;资金时间价值;;决策分析,"投资决策是企业财务管理的一项重要内容,因其决策涉及到的项目价值高,决策时间长,需要建立在货币时间价值和投资风险价值的基础上。Excel是一种功能强大的电子表格软件,运用Excel函数中相关财务函数计算各种投资指标,根据指标结果对投资项目做出收益评估和风险评判,做出科学有效的投资决策促进财务管理手段的科学化。",2016/9/20,2016
CJFDTEMP,ACM在计算机教学的应用研究——以C语言程序设计为例,雷利利;,河南财政税务高等专科学校综合实验实训中心;,电脑迷,ACM竞赛平台;;程序设计;;教学成果,"鉴于C语言教学模式的弊端,参考目前国内较为成功的C语言教学改革,即将ACM竞赛平台引入教学与实训,通过实践验证,此方法不仅提高学生自主解决问题能力、创新能力以及团队协作的能力,也激发了学生的学习热情,提高教学质量与成果。",2016/3/15,2016
CJFDTEMP,Agent-Petri的供应链需求协同预测,向昌盛;张林峰;,湖南工程学院计算机与通信系;湖南农业大学信息科学技术学院;,计算机工程与设计,供应链协调;;协同预测;;Petri网;;预测效果;;仿真实验;;多Agent系统,"为获得更加理想的供应链预测结果,提出一种基于Agent-Petri的供应链需求协同预测模型。从企业供应链各环节的协同关系出发,将供应链看作一个协同系统,采用Agent描述企业供应链各个环节的行为规则,通过Petri网刻画企业供应链相互联系。通过仿真实验对Agent-Petri的预测性能进行分析,实验结果表明,Agent-Petri可以准确刻画企业供应链需求的动态变化特性,提高供应链需求预测的精度,预测结果有利于提高企业的管理水平。",2016/10/16,2016
CJFDTEMP,基于SLIC超像素和贝叶斯框架的显著性区域检测,冯海永;高美凤;,江南大学轻工过程先进控制教育部重点实验室;,小型微型计算机系统,SLIC;;超像素;;显著性检测;;贝叶斯框架,"提出一种基于SLIC超像素和贝叶斯框架的显著性区域检测算法.首先,在图像的预处理阶段,为了降低计算的复杂度,采用SLIC算法来提取给定图像的超像素.然后,在每一个尺度之下,考虑以下三个准则:区域对比度、完整性以及中心偏差,进而结合贝叶斯框架再进行后续显著性检测;之后通过加权求和以及归一化操作后计算得到最终的显著性图.最后,由一个滤波器来更进一步来提高检测效果以便于优化最终的显著性图.在MSRA10K基准数据库上与当前比较流行的几种方法来进行相关定性和定量的比较,实验结果表明,本文所提算法的性能均高于当前比较流行的方法.",2016/10/15,2016
CJFDTEMP,基于智能化的系统集成项目管理探究,王恬;,南京扬子信息技术有限责任公司;,电脑迷,智能化系统集成项目;;特点;;功能;;管理,"随着科学技术的不断进步,系统集成项目的管理开始朝着智能化方向不断推进,对于提高项目管理效率具有重要意义。本文将在分析智能化信息系统项目结构、特点及功能的基础上,探讨项目管理的具体实施方式和应用领域。",2016/3/15,2016
CJFDTEMP,面向教学资源查询的语义相似度和相关度算法,冯瑶;冯锡炜;,辽宁石油化工大学计算机与通信工程学院;,计算机应用与软件,语义相似度;;语义相关度;;教学资源领域;;本体,"在基于距离的语义相似度计算方法的基础上,综合多种因素对相似度的影响,提出一种新的相似度和相关度计算方法。将其应用到教学资源领域本体,计算本体概念间的相似度和相关度。实验结果显示该算法可以提高传统基于距离的相似度算法的性能。最后比较了利用该算法的语义查询与传统关键字查询的结果。",2016/10/15,2016
CJFDTEMP,关于软件需求的得与失,刑子彦;,华北计算技术研究所;,经贸实践,应用软件;;项目;;需求,"对于应用软件研发类项目的需求过程,这些年经历的那些绕不开躲不过的奇葩堵心事儿,其解决之道除了教科书上的定义方法和软件工程的标准规范之外,试着从实战角度换种思路分析现实中遇到的诸多沟坎,聊聊需求到底为何、该由谁来做、怎么做才好以及换个思路试一试。",2016/4/15,2016
CJFDTEMP,基于云计算环境的优质资源共享平台的研究,陆长锋;蔡国民;,吉首大学软件服务外包学院;,电脑迷,云计算环境;;优质资源;;共享平台,"信息时代背景下,社会各领域信息化建设趋势势不可挡。资源作为信息化建设及发展的核心,随着需求的增加,优质资源建设过程中出现了很多问题,具体表现在资源总量大、资源离散严重等,而云计算技术出现后,给各领域信息化建设带来了新思维、新技术,如何构建以云计算为基础的资源共享平台成为我们亟待思考的问题。本文将从资源共享概念入手,结合教育领域从关键技术、平台架构等角度深入探讨云计算环境下的优质教育资源共享平台的建设。",2016/2/15,2016
CJFDTEMP,基于翻转课堂的C语言基础与编程独立实验课教学实践,杨焱超;熊盛武;饶文碧;袁景凌;,武汉理工大学计算机科学与技术学院;,计算机教育,翻转课堂;;C语言;;独立实验课,"鉴于传统实验教学主要采用教师课上讲解、学生课下练习的方式,不能充分发挥学生学习的主动性,影响实验教学效果,文章采用翻转课堂教学模式对C语言独立实验课进行教学实践,并对学生课外学习过程进行监督和分析。通过调查问卷和教学实践表明采用基于翻转课堂的C语言独立实验课程有助于提高学生的实际编程能力和学习积极性,提升学生的自我学习能力,满足个性化和开放式自主学习需求。",2016/10/10,2016
