SrcDatabase-来源库,Title-题名,Author-作者,Organ-单位,Source-文献来源,Keyword-关键词,Summary-摘要,PubTime-发表时间,Year-年
CJFD2015,面向多数据集的共享显露序列模式挖掘,陈湘涛;王晶;丁平尖;,湖南大学信息科学与工程学院;,中南大学学报(自然科学版),显露序列;;共享显露序列;;剪枝策略;;负迁移学习;;协同分类,"考虑到2个或多个数据集的显露序列对学习/知识迁移有用,提出一种特殊的显露序列模式,即共享显露序列模式(SESs),并给出一个基于共享广义后缀树的框架来挖掘共享显露序列模式,同时在挖掘SESs的过程中应用2种新的剪枝策略。从3个方面进行实验评估:SESs挖掘算法的性能分析,SESs的负迁移分析,以及SESs用于提高协同分类准确性分析。研究结果表明:新提出的SESs在时间性能、负迁移影响、提高协同分类准确性上均取得较好的性能。",2015/11/26,2015
CJFD2015,基于数据挖掘的红外线图像分类研究,王萌;,南京晓庄学院;,激光杂志,可见光增强;;红外线图像;;分类研究;;数据挖掘,"为了提高红外线图像的分类效果,针对当前红外线图像分类过程中的特征权值确定和分类器选择问题,提出一种基于数据挖掘的红外线图像分类方法。首先收集红外线图像,并提取红外线图像的Gabor滤波器特征,然后采用Relief算法确定特征的权值,并采用回声状态网络构建红外线图像分类器,最后采用仿真实验测试其有效性。实验结果表明,本文方法可以准确描述每一个特征对红外线图像分类的贡献,提高了红外线图像的分类正确率,分类速度可以满足红外线图像应用中的实时性要求。",2015/12/25,2015
CJFD2015,基于关联规则映射的生物信息网络多维数据挖掘算法分析,吐尔逊江·托合提;,北京交通大学计算机与信息技术学院;,无线互联科技,关联规则;;映射;;生物信息网络;;数据挖掘算法,"要想对生物信息网络数据进行大范围的挖掘,所应用到的算法有很多不足之处,比如,精确度低,运行速度迟缓以及占内存等,基于这一背景,文章提出了一种能够对生物信息进行映射并关联的数据挖掘算法,这种算法不仅能够映射关联,确定网络数据集,还能够基于算法引入相对误差,使算法的精确性提高。通过构建数据集间的关联,能够对空间内的数据进行区分,达到更好的数据挖掘效果。",2015/10/10,2015
CJFD2015,数据挖掘在高校信息系统设计中的应用研究,彭亮;,贵州工业职业技术学院;,技术与市场,高校;;信息系统;;数据挖掘,"高校信息系统所收集的大学信息量繁多,而大多高校的信息系统又缺乏决策分析功能,因此对高校信息系统设计中数据挖掘的应用进行研究,具有一定的现实意义。基于数据挖掘技术对其在高校信息系统设计中的应用情况进行了分析,阐述了数据挖掘在高校信息系统中的设计实现,并以学生信息管理模块为例,对数据挖掘在高校信息系统管理中的应用进行了分析,旨在促使高校管理水平的有效提升。",2015/12/15,2015
CJFD2015,基于滑动窗口的不确定性数据流频繁项集挖掘算法,刘慧婷;周开申;赵鹏;,安徽大学计算机科学与技术学院;,计算机应用与软件,不确定性数据;;数据流;;频繁项集;;滑动窗口,"为了提高频繁项集挖掘算法的准确性,在不确定性数据流频繁项集挖掘算法SRUF-mine的基础上引入最大可能误差,提出一种基于滑动窗口的false-positive挖掘算法UFIM。UFIM算法对数据流进行分块处理,在内存中维护一个存储滑动窗口内频繁项集的概要数据结构,随着窗口的滑动对该概要结构进行增量更新。实验表明,与SRUF-mine相比,UFIM算法能获得较高的频繁项集挖掘的准确性。",2015/12/15,2015
CJFD2015,Apriori算法在数字化校园Web数据挖掘中的使用,李洁;,江苏省徐州技师学院信息工程学院;,信息通信,数据挖掘;;Web数据挖掘;;数字化校园;;Apriori算法,"校园内各部门网站每天都会更新很多的数据,数据挖掘技术在发现对师生行为分析及预测起到了举足轻重的作用。Apriori算法在数字化校园中Web数据挖掘的使用,重点研究了关联规则和Apriori算法,从而有效提高学校的办公效率。",2015/12/15,2015
CJFD2016,数据挖掘在人力资源信息分析中的应用,柳世辉;,乌兰察布市人事考试中心;,企业导报,数据挖掘;;人力资源;;信息系统,"企业的竞争归根结底是人才的竞争,如何全面掌握和合理利用人才资源是公司人力资源管理的首要问题。本文首先简单介绍了数据挖掘技术的背景、常用技术及运作流程,在此基础上阐述了数据挖掘技术在人力资源信息系统中的应用。",2016/1/15,2016
CJFD2016,农业大数据浅析及与Web GIS结合应用,刘勍;毛克彪;马莹;韩家琪;夏浪;,中国农业科学院农业资源与农业区划研究所呼伦贝尔草原生态系统国家野外科学观测研究站;中国国际农业大数据与营养研究院;遥感科学国家重点实验室;,遥感信息,农业数据;;大数据;;Web GIS;;农业大数据;;农业信息化,"针对农业领域当前缺少量化数据支撑、数据挖掘能力不足和难以与空间数据结合分析等问题,提出将大数据技术与Web GIS应用到农业中的体系框架。借鉴国内外学者在大数据和Web GIS领域的研究成果,基于农业的具体行业特征,从数据采集、挖掘、应用3个方面入手,分析了大数据和Web GIS与农业的结合应用方式,提出应用体系框架并对各个部分加以解释。农业的稳定发展影响着国民经济与粮食安全战略,迫切需要利用大数据技术提高我国农业信息化程度,目前农业大数据研究尚处于初级阶段,需农业相关部门及社会各界予以关注支持。",2016/2/15,2016
CJFD2016,电子商务中的数据挖掘技术探讨,邰琦珲;,沈阳理工大学;,电脑编程技巧与维护,电子商务;;数据挖掘;;应用,"电子商务系统是一种新兴的商业模式,已被广泛应用于人类的经济生活中,同时电子商务公司所需处理的用户数据也越来越庞大,而传统的人工分析处理手段难以满足行业的发展要求。为此,越来越多的电子商务公司开始引进数据挖掘分析软件来分析处理用户信息与交易数据。",2016/3/18,2016
CJFD2016,浅谈钢企CRM实施及数据挖掘技术的应用,沈文彦;,江苏苏钢集团;,现代冶金,客户关系管理;;数据挖掘;;钢铁企业;;顾客价值,"通过阐述钢铁企业建立客户关系管理的流程框架和实施客户关系管理系统的要义,借助CRM系统结构和与数据挖掘技术相结合的优势,探讨了数据挖掘技术在客户关系管理中的相关应用。",2016/2/15,2016
CJFD2016,数据挖掘在茶叶行业客户关系管理系统的应用研究,郑倩倩;智淑敏;,郑州澍青医学高等专科学校;,福建茶叶,数据挖掘;;茶叶行业;;客户关系管理系统,"伴随着现代信息技术的不断提升,各行各业已经开始使用信息技术来进行日常管理,针对客户信息进行信息化管理,将客户信息进行统计建立相关的数据库,这种模式符合现代的管理理念。伴随着这样的基本情况,数据挖掘在现代的客户管理非常重要,茶叶行业也在这方面也得到了相应的提升,本文进行了相关分析,希望可以带来提升。",2016/3/25,2016
CJFD2016,基于数据挖掘的阳痿方剂组方规律分析,吴东明;林基伟;王萍;王怡琨;卢富华;,广州中医药大学第二临床医学院;广州中医药大学基础医学院;广东省中医院;,中成药,阳痿;;组方规律;;中医传承辅助系统,"目的分析治疗阳痿中成药处方的用药规律。方法收集《新编国家中成药》中关于阳痿治疗的120个处方,使用中药226味,基于中医传承辅助系统建立处方数据库,采用关联规则apriori算法、复杂系统熵聚类等方法开展研究,确定处方中各种药物的使用频次及药物之间的关联规则等。结果超过20次以上的使用频次的药物有25味,高频次药物有枸杞子、淫羊藿、熟地黄、人参、鹿茸等;高频次药物组合包含枸杞子+熟地黄、人参+鹿茸、淫羊藿+枸杞子等;挖掘出的新处方包括""木香、狗鞭、鹿鞭、牛鞭、驴鞭"",""续断、芡实、胡芦巴、覆盆子、沙苑子"",""龟甲、砂仁、酸枣仁、鹿角胶"",""狗肾、驴肾、鹿肾、核桃仁、荜澄茄""。结论治疗阳痿的高频...",2016/4/20,2016
